쌍,A,B,A비중,시나리오,CAGR,MDD,Calmar,Sharpe,Sortino,최악일
이평4일+중심주가,이평4일,중심주가,30,전체 2011~,0.8844771957036206,-0.32039598015436177,2.7605751959730997,1.5821134806265795,2.2615072300832506,-0.14503595485014054
이평4일+중심주가,이평4일,중심주가,35,전체 2011~,0.8981198142463687,-0.3199463659692253,2.8070949064405255,1.5860162921541343,2.2615444598755774,-0.14451808323729531
이평4일+중심주가,이평4일,중심주가,40,전체 2011~,0.9104743570026259,-0.3217611192839782,2.82965934177729,1.5874526550783006,2.2570912053279746,-0.14773837934519796
이평4일+중심주가,이평4일,중심주가,45,전체 2011~,0.9217509278146316,-0.3232791695856908,2.851253698145576,1.5871636020652493,2.2496544638407032,-0.15271234424618862
이평4일+중심주가,이평4일,중심주가,50,전체 2011~,0.9321314283389444,-0.32655945746017356,2.8544003459236054,1.585580183258246,2.23982334275901,-0.15731531887389982
이평4일+중심주가,이평4일,중심주가,55,전체 2011~,0.9417649525535061,-0.331706423441106,2.839151991039797,1.5831139430771317,2.2284312176934624,-0.16611458457576966
이평4일+중심주가,이평4일,중심주가,60,전체 2011~,0.9507387257438016,-0.3367867085251681,2.8229698550373543,1.5799764195455765,2.215621948338176,-0.17430379502021875
이평4일+중심주가,이평4일,중심주가,65,전체 2011~,0.9591497155261135,-0.3418056739043118,2.806125786532808,1.5763615979244785,2.20277895282131,-0.18189982281311412
이평4일+중심주가,이평4일,중심주가,70,전체 2011~,0.9670620750862449,-0.34676039522363944,2.7888481164711685,1.5723901157448115,2.1901650215994035,-0.1889706533136749
이평4일+중심주가,이평4일,중심주가,75,전체 2011~,0.9745387246399735,-0.3516516745273084,2.7713183107970476,1.5681684367614788,2.178678988855016,-0.1955595521593868
이평4일+중심주가,이평4일,중심주가,80,전체 2011~,0.981621318259833,-0.35648572869270123,2.753606215484752,1.5637448534705223,2.1684313136723024,-0.2017314882152038
이평4일+중심주가,이평4일,중심주가,85,전체 2011~,0.9883464785286726,-0.36125990890658966,2.735832164493591,1.5591838033287293,2.1589045335144292,-0.2075090002518658
이평4일+중심주가,이평4일,중심주가,90,전체 2011~,0.9947606514955543,-0.3659754843296724,2.718107343494815,1.5545293492215981,2.150515242082016,-0.21293452643292599
이평4일+중심주가,이평4일,중심주가,95,전체 2011~,1.000883123664177,-0.37366553662648117,2.6785534804743505,1.549796630779373,2.1460108359551793,-0.21804153178370778
이평4일+중심주가,이평4일,중심주가,5,IS 2017~2023,1.0159257433557696,-0.350738761832582,2.896531133449975,1.6429552189914467,2.328825881021978,-0.22762818505108495
이평4일+중심주가,이평4일,중심주가,10,IS 2017~2023,1.0306106510598676,-0.34119010401889116,3.020634651826843,1.6698937387507706,2.3792006422058205,-0.2174648801337542
이평4일+중심주가,이평4일,중심주가,15,IS 2017~2023,1.0446654449065313,-0.33202612533139253,3.1463350778914143,1.6923373598126843,2.4263391803782435,-0.20714558652485182
이평4일+중심주가,이평4일,중심주가,20,IS 2017~2023,1.058148545896854,-0.3232164301579693,3.2738080343864104,1.710592616283465,2.4628584193276297,-0.1966686910322617
이평4일+중심주가,이평4일,중심주가,25,IS 2017~2023,1.070994088265599,-0.3147418645456551,3.4027697262695895,1.7249032497284011,2.4898626417653413,-0.18606206283230375
이평4일+중심주가,이평4일,중심주가,30,IS 2017~2023,1.0835667362003139,-0.3065198593973921,3.5350620946080626,1.7359559428376585,2.509336240249132,-0.17518847703562002
이평4일+중심주가,이평4일,중심주가,35,IS 2017~2023,1.0956778141401466,-0.30418105778489246,3.6020580049234243,1.7438589665203448,2.5208941413812678,-0.164198077019997
이평4일+중심주가,이평4일,중심주가,40,IS 2017~2023,1.1072983132155203,-0.3040196542668139,3.642193186114647,1.7488998188832505,2.5243854968937685,-0.1530230918705533
이평4일+중심주가,이평4일,중심주가,45,IS 2017~2023,1.1185883894264421,-0.3038603412282558,3.681258254713055,1.751509298698812,2.5225106152548804,-0.14165623850948217
이평4일+중심주가,이평4일,중심주가,50,IS 2017~2023,1.1294701615206821,-0.3037092183653747,3.7189195889401128,1.7519387842051328,2.5144242765477682,-0.13095169447550004
이평4일+중심주가,이평4일,중심주가,55,IS 2017~2023,1.1401230611033197,-0.3035599840735912,3.7558410888140084,1.7505972145691977,2.501938893448895,-0.13523076263438205
이평4일+중심주가,이평4일,중심주가,60,IS 2017~2023,1.1504618091420928,-0.30341389497275273,3.791724203156243,1.7476688524072108,2.4865573307495756,-0.14576118599265286
이평4일+중심주가,이평4일,중심주가,65,IS 2017~2023,1.1604652326222684,-0.3032722654489105,3.826479915347753,1.7433129941770076,2.4688396252257623,-0.15609136688659597
이평4일+중심주가,이평4일,중심주가,70,IS 2017~2023,1.1702846355042666,-0.3031292303608544,3.8606789391809024,1.7378714613366881,2.4496768767064188,-0.16623789929766797
이평4일+중심주가,이평4일,중심주가,75,IS 2017~2023,1.1796517785671972,-0.30299820553484236,3.893263250470131,1.7312762490455267,2.427361048115913,-0.17613769335154195
이평4일+중심주가,이평4일,중심주가,80,IS 2017~2023,1.189057245362212,-0.3028617335732592,3.926072902420969,1.7241531652421125,2.4058609807333853,-0.18585140728020877
이평4일+중심주가,이평4일,중심주가,85,IS 2017~2023,1.1980858057148693,-0.3032127980566277,3.9513035511486425,1.71618934775971,2.3829884769203407,-0.19537549686506306
이평4일+중심주가,이평4일,중심주가,90,IS 2017~2023,1.2067909406797237,-0.3048664774395673,3.9584245234668085,1.7075689207637743,2.3643732974592626,-0.20469702918398636
이평4일+중심주가,이평4일,중심주가,95,IS 2017~2023,1.2154616176506239,-0.3064437118105522,3.9663454357387478,1.6986756281237172,2.351796148310124,-0.2138486519867513
이평4일+중심주가,이평4일,중심주가,5,OOS 2024~2026,1.6776658245244929,-0.3204358821206972,5.235574160488599,1.9099510261422217,2.9685300201907983,-0.1545639940867638
이평4일+중심주가,이평4일,중심주가,10,OOS 2024~2026,1.7890940988232837,-0.28939371790882706,6.182214706495234,2.0151094954491944,3.0848192020501917,-0.1525313290525281
이평4일+중심주가,이평4일,중심주가,15,OOS 2024~2026,1.831714986464997,-0.28562907473485677,6.41291503032504,2.070255058179455,3.1408843560846873,-0.1513701475040644
이평4일+중심주가,이평4일,중심주가,20,OOS 2024~2026,1.8722602490473128,-0.288888962397829,6.480899212995971,2.1214061965527993,3.199791623598516,-0.1502702808380958
이평4일+중심주가,이평4일,중심주가,25,OOS 2024~2026,1.9119540532020882,-0.2918447525557615,6.551270963272775,2.169092041714831,3.2527502586682893,-0.14920726159452014
이평4일+중심주가,이평4일,중심주가,30,OOS 2024~2026,1.9507826004016349,-0.29484481167619203,6.616302960569123,2.212832545402201,3.302932239167527,-0.14820745253463152
이평4일+중심주가,이평4일,중심주가,35,OOS 2024~2026,1.9886561824748363,-0.2980739413875949,6.67168747867471,2.2522780428853,3.3464934645064455,-0.1472203597823225
이평4일+중심주가,이평4일,중심주가,40,OOS 2024~2026,2.0257180818917364,-0.3008936671499155,6.732338706492133,2.287107401879127,3.376825467570168,-0.14629717205063242
이평4일+중심주가,이평4일,중심주가,45,OOS 2024~2026,2.0634393535188744,-0.3036478520419884,6.79550123487632,2.3185365772390503,3.406220408363102,-0.14535800558224043
이평4일+중심주가,이평4일,중심주가,50,OOS 2024~2026,2.099736437075525,-0.3063227792837986,6.854653258190062,2.3443388147832254,3.427734244203888,-0.14450133570437274
이평4일+중심주가,이평4일,중심주가,55,OOS 2024~2026,2.135324435966178,-0.30891559535828617,6.9123231978288056,2.3654538726577043,3.4436860879095557,-0.1436562120862781
이평4일+중심주가,이평4일,중심주가,60,OOS 2024~2026,2.1689607121726193,-0.311438369164584,6.964333643252548,2.3811253693178474,3.4591804535461366,-0.14287601598507793
이평4일+중심주가,이평4일,중심주가,65,OOS 2024~2026,2.2024244219889417,-0.31381281969562747,7.018274218768728,2.3924325387625367,3.4625787817288174,-0.1421100367358744
이평4일+중심주가,이평4일,중심주가,70,OOS 2024~2026,2.2360540241269034,-0.316394135752465,7.067305526409341,2.3997923560738643,3.4621559992950677,-0.14135457209043711
이평4일+중심주가,이평4일,중심주가,75,OOS 2024~2026,2.2696566251753993,-0.31869274535473746,7.121770602744786,2.4036634719380015,3.4617272554508616,-0.14061339958484864
이평4일+중심주가,이평4일,중심주가,80,OOS 2024~2026,2.3017688366906186,-0.32102812887892185,7.1699911304618045,2.4028926149503564,3.4521552254582586,-0.13991653541508153
