시나리오,전략,1티어%,CAGR,MDD,Calmar,Sharpe,Sortino,최악일,배수,거래,승률
전체 2011~,중심주가,70,0.22873391518311692,-0.8655331709103826,0.2642693808517248,0.645850858936644,0.7982530372215645,-0.3595221900819021,25.004381000000002,2745,0.5686703096539162
전체 2011~,중심주가,80,0.22091025496172034,-0.870955610393919,0.25364123306101244,0.6354341900131054,0.7633556215818443,-0.3595321799285556,22.628896333333334,2733,0.5693377241126967
전체 2011~,중심주가,90,0.208374284557739,-0.8761505017067728,0.23782932744068327,0.6191217253568697,0.7198241937042078,-0.3595458618369205,19.258216333333333,2739,0.5695509309967142
전체 2011~,중심주가,95,0.19646786934080818,-0.8774976565827165,0.22389560572266703,0.6037644607030171,0.6917735015810382,-0.35951995239197276,16.497205,2739,0.5695509309967142
IS 2017~2023,이평4일,1,1.223710906118992,-0.31931752067845076,3.832269847013047,1.6892216108576963,2.3381872987027097,-0.22283142572311676,265.5121213333333,967,0.6204756980351603
IS 2017~2023,이평4일,5,1.1917445597811835,-0.3296717996354849,3.6149423793569384,1.6651588743809784,2.231720320085393,-0.22382225389715382,239.974241,967,0.6204756980351603
IS 2017~2023,이평4일,10,1.1500784913722182,-0.3572861013673625,3.2189287155889237,1.6303814366898992,2.187107000632868,-0.22507004370037975,209.86813033333334,967,0.6204756980351603
IS 2017~2023,이평4일,15,1.1065285436779564,-0.3854787185911005,2.8705308239122664,1.5904298082901427,2.1559882597687956,-0.2263320909734029,181.918821,967,0.6204756980351603
IS 2017~2023,이평4일,20,1.0607571675158636,-0.41442652046107,2.5595783936214285,1.5450548857330384,2.116561674551778,-0.227617433361612,156.042939,967,0.6204756980351603
IS 2017~2023,이평4일,25,1.0139710217346352,-0.4443533760887005,2.2819023693706093,1.4953127759316382,2.0673179997988185,-0.228915728247989,132.91864966666668,967,0.6204756980351603
IS 2017~2023,이평4일,30,0.965082023094008,-0.47545828096205656,2.029793278899743,1.4407796747031105,2.0048861656656802,-0.23022895773029106,111.95569533333332,967,0.6204756980351603
IS 2017~2023,이평4일,35,0.9127462738467449,-0.5080508070716865,1.7965649520520406,1.380455270618489,1.927189216323027,-0.2315670956574971,92.71874000000001,967,0.6204756980351603
IS 2017~2023,이평4일,40,0.8575048612929623,-0.5562479598606332,1.5415874271391636,1.3152732212180547,1.8356803935496004,-0.23293174504617864,75.55723300000001,967,0.6204756980351603
IS 2017~2023,이평4일,45,0.8075994301836629,-0.6163390465769558,1.3103168372488085,1.2549595000993994,1.745882819378063,-0.23431659458451237,62.46948166666667,967,0.6204756980351603
IS 2017~2023,이평4일,50,0.7511895113834242,-0.6691278271980687,1.1226397720282888,1.1906872018914763,1.643196708398718,-0.23567975116449402,50.061208,967,0.6204756980351603
IS 2017~2023,이평4일,60,0.6570019222421906,-0.7482496853634828,0.8780517186893756,1.0884945381796116,1.4729635783503217,-0.238053975386043,34.025801333333334,967,0.6204756980351603
IS 2017~2023,이평4일,70,0.538809795821986,-0.803711666008837,0.6704018600323036,0.9721334147386346,1.2788511507721485,-0.234165263526263,20.293072666666667,967,0.6204756980351603
IS 2017~2023,이평4일,80,0.4322888281561672,-0.8435407682737296,0.5124693961630663,0.8660793388127443,1.1044346144985449,-0.21996654434538443,12.295831333333334,967,0.6204756980351603
IS 2017~2023,이평4일,90,0.33033355892156147,-0.8649689490809679,0.3819022165738341,0.7594763653804016,0.9389064399159442,-0.23813304870394747,7.3412896666666665,967,0.6204756980351603
IS 2017~2023,이평4일,95,0.2813178803707108,-0.8743854196366081,0.3217321264204356,0.7054928402102564,0.8586576912774343,-0.24916914451638583,5.648113333333333,967,0.6204756980351603
IS 2017~2023,중심주가,1,1.0006953950094846,-0.3605985826520167,2.7750951976845992,1.611518835559681,2.2814615344337397,-0.23758331089237716,126.918644,1251,0.5851318944844125
IS 2017~2023,중심주가,5,0.9667133702794994,-0.3792446801328314,2.549049257436929,1.5807428078784367,2.1736791862299287,-0.23918522522206975,112.60644066666667,1251,0.5851318944844125
IS 2017~2023,중심주가,10,0.9231170724792059,-0.4034021740062378,2.2883294438193382,1.5351661115499748,2.131245571911201,-0.24134928059603244,96.287312,1251,0.5851318944844125
IS 2017~2023,중심주가,15,0.8777234889030643,-0.4286855388703963,2.0474763184592164,1.481356364447329,2.0794699749320533,-0.24372293182925375,81.491777,1251,0.5851318944844125
IS 2017~2023,중심주가,20,0.8283940243115762,-0.45539483357611565,1.819067682007676,1.4165987914990672,2.005161909320081,-0.2463904628414172,67.66481233333333,1251,0.5851318944844125
IS 2017~2023,중심주가,25,0.7792750120200971,-0.48388136714827124,1.6104670791783373,1.3466048234423769,1.9133585944299962,-0.2493606049114555,55.945102,1251,0.5851318944844125
IS 2017~2023,중심주가,30,0.7256765932418647,-0.5252149681498763,1.381675384839345,1.2667449035564917,1.7968708392548014,-0.25274311107350855,45.184085,1251,0.5851318944844125
IS 2017~2023,중심주가,35,0.6696120405007093,-0.5817174208905623,1.1510950445245174,1.180652219848423,1.6657721958252532,-0.2565856318696408,35.87603333333333,1251,0.5851318944844125
IS 2017~2023,중심주가,40,0.6063244750104035,-0.6434641767002013,0.9422816327083556,1.086973757339378,1.5149663668631106,-0.2611350117891662,27.390034333333336,1251,0.5851318944844125
IS 2017~2023,중심주가,45,0.5250302090741692,-0.7146967319649606,0.734619574418188,0.979297246432027,1.3346902544239525,-0.26653426322077345,19.057408333333335,1251,0.5851318944844125
IS 2017~2023,중심주가,50,0.43276003824548614,-0.773368192467188,0.5595782739200863,0.8703466673806394,1.15455482219917,-0.2730904089838505,12.324112,1251,0.5851318944844125
IS 2017~2023,중심주가,60,0.3291486847691141,-0.8275089054759339,0.3977584804115278,0.75707652733961,0.9650069652737927,-0.28527837789238597,7.295744,1251,0.5851318944844125
IS 2017~2023,중심주가,70,0.26791729144560894,-0.8493497158838739,0.3154381363003123,0.6920586346625446,0.8526307907410233,-0.3219777804236924,5.248238333333333,1251,0.5851318944844125
IS 2017~2023,중심주가,80,0.2321997698710594,-0.8616420310227282,0.2694851939795106,0.6537145947240321,0.7817476545460754,-0.34851595192609675,4.2987313333333335,1251,0.5851318944844125
IS 2017~2023,중심주가,90,0.20420724588452677,-0.8733340724181415,0.2338248928260695,0.6226833741184171,0.7230399287697244,-0.3594111592749113,3.6613243333333334,1251,0.5851318944844125
IS 2017~2023,중심주가,95,0.18809095940369813,-0.8767904318134411,0.21452213958890368,0.6038976207526753,0.6922168737981865,-0.3594148122054853,3.332495,1251,0.5851318944844125
OOS 2024~2026,이평4일,1,2.427187027379131,-0.3571853586472653,6.79531500555171,2.3701830674302293,3.4148293631859,-0.13734982312270372,25.554140333333333,344,0.6569767441860465
OOS 2024~2026,이평4일,5,2.3440516919307726,-0.36781245456191314,6.372953560592938,2.3299693997210715,3.2479885749283897,-0.14020752642584589,23.955284333333335,344,0.6569767441860465
OOS 2024~2026,이평4일,10,2.2437400113723305,-0.38000966258800284,5.904428840286986,2.2762844844106636,3.1715652923585247,-0.14394931872585115,22.110585999999998,344,0.6569767441860465
OOS 2024~2026,이평4일,15,2.142240114780313,-0.3922424703814502,5.461520045743683,2.212914249179495,3.096394159855705,-0.1481824617082671,20.336390666666667,344,0.6569767441860465
OOS 2024~2026,이평4일,20,2.0389565467010375,-0.40504314650683326,5.033924322100928,2.1444236975887043,3.0118567011492132,-0.1528897553174574,18.624479666666666,344,0.6569767441860465
OOS 2024~2026,이평4일,25,1.934333998424799,-0.418200007165058,4.625380117847159,2.067840814857928,2.9010987376342374,-0.15826116348763442,16.984489333333332,344,0.6569767441860465
OOS 2024~2026,이평4일,30,1.8300016845790008,-0.4310683173906874,4.245270669986231,1.9852999316807738,2.774186400793528,-0.16429015217638354,15.441322666666666,344,0.6569767441860465
OOS 2024~2026,이평4일,35,1.7232780069231812,-0.4442575567706717,3.879006627258672,1.8964158948831906,2.633060902585268,-0.1712879057564266,13.955951666666666,344,0.6569767441860465
OOS 2024~2026,이평4일,40,1.6165458973517253,-0.4580480956583367,3.529205584903305,1.8043619234030202,2.485802883471591,-0.17573170839607155,12.562453666666666,344,0.6569767441860465
OOS 2024~2026,이평4일,45,1.524655364482065,-0.4655521597078123,3.274939945373602,1.7204913588963766,2.3520233836034334,-0.18002216964086837,11.434672666666666,344,0.6569767441860465
